Using configfile tools/sidid/sidid.cfg
--- SIDId engine classification for HVSC #85 (hvsc85/).
--- generator: tools/sidid (upstream cadaver/sidid @ ee92b8d96d9dda6d06d24674740577ddcbfe4f79 2026-07-14), SIDId V1.09,
---   PATCHED to not truncate paths at 56 chars -- see tools/sidid_no_truncate.patch.
DEMOS/A-F/Boz_Hubbard.sid                                Rob_Hubbard
DEMOS/A-F/Brain_Wash.sid                                 Soundmonitor
DEMOS/A-F/Brandenburg_BASIC.sid                          Basic/Jim_Butterfield
DEMOS/A-F/Breadtronic.sid                                Hermit/SidWizard_V1.x
DEMOS/A-F/Breathless_part_2.sid                          Music_Assembler
DEMOS/A-F/Brillant_Tune.sid                              DMC
DEMOS/A-F/Brilliant.sid                                  C64_Speech_System
DEMOS/A-F/Brite_Byte.sid                                 GoatTracker_V2.x
DEMOS/A-F/Bro-Mide.sid                                   CheeseCutter_2.x
DEMOS/A-F/Broken_Keyboard.sid                            Soundmonitor
DEMOS/A-F/Broken_Lands.sid                               DefleMask_v12
DEMOS/A-F/Bronski-Beat_plus_A_Tune.sid                   Electrosound
DEMOS/A-F/Bugle_Boy_BASIC.sid                            Basic_Program
DEMOS/A-F/Bunktro.sid                                    GoatTracker_V2.x
DEMOS/A-F/Burger.sid                                     Soundmonitor
DEMOS/A-F/Burner-Demo.sid                                Soundmonitor
DEMOS/A-F/Bus_Driver_Was_Curbstomped.sid                 FurC64
DEMOS/A-F/Butzemann.sid                                  GoatTracker_V2.x
DEMOS/A-F/C606.sid                                       GoatTracker_V2.x
DEMOS/A-F/C64_Berlin_Intro.sid                           Hermit/SidWizard_V1.x
DEMOS/A-F/CSDb_Cracktro_Compo_2013.sid                   GoatTracker_V2.x
DEMOS/A-F/Caitan_Demo_tune_1.sid                         Soundmonitor
DEMOS/A-F/Caitan_Demo_tune_2.sid                         Soundmonitor
DEMOS/A-F/Cam_01.sid                                     DMC
DEMOS/A-F/Camel_Song.sid                                 Soundmonitor
DEMOS/A-F/Camptown_Races.sid                             Synth_Executor
DEMOS/A-F/Cancion_de_cuna_BASIC.sid                      Basic_Program
DEMOS/A-F/Canned_Heat.sid                                Hermit/SidWizard_V1.x
DEMOS/A-F/Cannon_Fodder.sid                              Assassin_Sample_Mixer
DEMOS/A-F/Cannon_Fodder_Digi.sid                         Comer/Sample_Studio
DEMOS/A-F/Canon_in_D.sid                                 Master_Composer
DEMOS/A-F/Cant_Forget.sid                                DMC
DEMOS/A-F/Cant_Get_Enough.sid                            Soundmonitor
DEMOS/A-F/Cant_Help_Falling_in_Love_BASIC.sid            Basic_Program
DEMOS/A-F/Car_Demo_tune_1.sid                            Soundmonitor
DEMOS/A-F/Carmina_Burana_O_Fortuna.sid                   GoatTracker_V2.x
DEMOS/A-F/Casey_Jones.sid                                Music_Assembler
DEMOS/A-F/Cat_Demo_I.sid                                 Soundmonitor
DEMOS/A-F/Cathode_Chaos.sid                              Electrosound
DEMOS/A-F/Cavalry_March.sid                              Master_Composer
DEMOS/A-F/Chameleon.sid                                  Master_Composer
DEMOS/A-F/Chaser_01.sid                                  DMC
DEMOS/A-F/Chaser_02.sid                                  DMC
DEMOS/A-F/Cheers.sid                                     Master_Composer
DEMOS/A-F/Chess_Offenbach_BASIC.sid                      Basic_Program
DEMOS/A-F/Chicken_Lickin.sid                             Electrosound
DEMOS/A-F/Chicken_Song.sid                               Electrosound
DEMOS/A-F/China_Girl.sid                                 Loadstar_SongSmith
DEMOS/A-F/Chinese_Wall_Song_Nr_2.sid                     Electrosound
DEMOS/A-F/Chojnow_Music_Compo.sid                        DMC
DEMOS/A-F/Chris_01.sid                                   DMC
DEMOS/A-F/Chris_02.sid                                   Music_Assembler
DEMOS/A-F/Christmas_1988_tune_1.sid                      Soundmonitor
DEMOS/A-F/Christmas_1988_tune_2.sid                      Soundmonitor
DEMOS/A-F/Christmas_Demo.sid                             Soundmonitor
DEMOS/A-F/Christmas_Music.sid                            PASS
DEMOS/A-F/Christmas_Terror.sid                           Music_Assembler
DEMOS/A-F/Christmas_Tree_BASIC.sid                       Basic_Program
DEMOS/A-F/Chromatic_Boogie_BASIC.sid                     Basic_Program
DEMOS/A-F/Chylin_01.sid                                  Music_Assembler
DEMOS/A-F/Ciabah_1_intro.sid                             Music_Assembler
DEMOS/A-F/Ciabah_1_magazine.sid                          Music_Assembler
DEMOS/A-F/Cind-i-rell-i.sid                              DefleMask_v2
